Timestamp,MasterMeter-Triacta Meter 1 Active Power,MasterMeter-Triacta Meter 2 Active Power,MasterMeter-Triacta Meter 3 Active Power,MasterMeter-Triacta Meter 4 Active Power,MasterMeter-Triacta Meter 5 Active Power
2019-04-25T14:00:00.000-04:00,808.8591613769531,815.5829772949219,815.5829772949219,,
2019-04-25T15:00:00.000-04:00,807.8033294677734,817.5381774902344,817.5381774902344,767.0965270996094,583.2927398681641
2019-04-25T16:00:00.000-04:00,738.7272491455078,809.0614929199219,809.0614929199219,747.6934509277344,569.9581604003906
2019-04-25T17:00:00.000-04:00,715.8347930908203,799.4022979736328,799.4022979736328,687.6934967041016,524.9878234863281
2019-04-25T18:00:00.000-04:00,624.9979248046875,704.8601684570312,704.8601684570312,725.8829040527344,441.9530487060547
2019-04-25T19:00:00.000-04:00,571.7125244140625,651.9702758789062,651.9702758789062,678.501220703125,379.2271499633789
2019-04-25T20:00:00.000-04:00,560.0226440429688,590.8464202880859,590.8464202880859,679.3227691650391,363.8639373779297
2019-04-25T21:00:00.000-04:00,522.2731704711914,570.64697265625,570.64697265625,692.2925872802734,356.9429473876953
2019-04-25T22:00:00.000-04:00,529.753173828125,543.1936721801758,543.1936721801758,635.7493591308594,355.1038513183594
2019-04-25T23:00:00.000-04:00,494.01842498779297,512.9554290771484,512.9554290771484,641.9010620117188,351.3341293334961
2019-04-26T00:00:00.000-04:00,491.31719970703125,503.1624450683594,503.1624450683594,626.1593933105469,335.8043212890625
2019-04-26T01:00:00.000-04:00,472.4073486328125,498.50213623046875,498.50213623046875,614.1789703369141,327.9549560546875
2019-04-26T02:00:00.000-04:00,472.06185150146484,495.7105178833008,495.7105178833008,602.2421417236328,328.36974334716797
2019-04-26T03:00:00.000-04:00,467.6210479736328,500.90924072265625,500.90924072265625,604.6815643310547,318.31578826904297
2019-04-26T04:00:00.000-04:00,480.44606018066406,498.7065658569336,498.7065658569336,606.7302703857422,326.9368438720703
2019-04-26T05:00:00.000-04:00,490.8175506591797,532.6726989746094,532.6726989746094,632.4848785400391,346.1899719238281
2019-04-26T06:00:00.000-04:00,587.189697265625,601.1026763916016,601.1026763916016,698.6286315917969,406.4647750854492
2019-04-26T07:00:00.000-04:00,663.2792053222656,664.5111083984375,664.5111083984375,704.7247772216797,452.6430969238281
2019-04-26T08:00:00.000-04:00,696.0943298339844,797.7840118408203,797.7840118408203,759.9672088623047,490.1060104370117
2019-04-26T09:00:00.000-04:00,730.3567047119141,814.3747406005859,814.3747406005859,752.908935546875,544.8129577636719
2019-04-26T10:00:00.000-04:00,760.9297637939453,837.9187927246094,837.9187927246094,719.4691467285156,543.4359893798828
2019-04-26T11:00:00.000-04:00,764.9937591552734,850.6045379638672,850.6045379638672,752.5178070068359,592.4012603759766
2019-04-26T12:00:00.000-04:00,777.4956970214844,868.3255004882812,868.3255004882812,708.6924438476562,581.6477203369141
2019-04-26T13:00:00.000-04:00,772.0787811279297,824.2232971191406,824.2232971191406,669.6074981689453,577.7621459960938
2019-04-26T14:00:00.000-04:00,776.5203704833984,855.8329315185547,855.8329315185547,718.5536651611328,564.3075866699219
2019-04-26T15:00:00.000-04:00,747.9997863769531,874.7723999023438,874.7723999023438,700.7755584716797,567.3827056884766
2019-04-26T16:00:00.000-04:00,717.8456115722656,816.7352905273438,816.7352905273438,756.6736297607422,537.2138061523438
2019-04-26T17:00:00.000-04:00,655.4997253417969,761.5977020263672,761.5977020263672,712.3718109130859,529.5691223144531
2019-04-26T18:00:00.000-04:00,600.370361328125,713.1227722167969,713.1227722167969,695.9020385742188,420.09842681884766
2019-04-26T19:00:00.000-04:00,565.5122222900391,629.4440307617188,629.4440307617188,678.9279937744141,366.617431640625
2019-04-26T20:00:00.000-04:00,550.8325500488281,578.4106750488281,578.4106750488281,642.0925445556641,364.6598358154297
2019-04-26T21:00:00.000-04:00,522.6119689941406,567.9545745849609,567.9545745849609,642.7193908691406,340.0879135131836
2019-04-26T22:00:00.000-04:00,513.4500045776367,536.0210571289062,536.0210571289062,623.20263671875,333.7697448730469
2019-04-26T23:00:00.000-04:00,464.3874816894531,524.2120132446289,524.2120132446289,623.7357788085938,327.37461853027344
2019-04-27T00:00:00.000-04:00,463.00157928466797,517.2132034301758,517.2132034301758,588.8392028808594,328.3422088623047
2019-04-27T01:00:00.000-04:00,459.77083587646484,511.6822052001953,511.6822052001953,586.5470886230469,319.5318145751953
2019-04-27T02:00:00.000-04:00,448.09568786621094,511.67261505126953,511.67261505126953,599.6709136962891,343.06436920166016
2019-04-27T03:00:00.000-04:00,442.5414047241211,497.87574005126953,497.87574005126953,588.0941162109375,329.4358444213867
2019-04-27T04:00:00.000-04:00,458.19639587402344,502.6836395263672,502.6836395263672,586.3997802734375,344.852783203125
2019-04-27T05:00:00.000-04:00,456.67730712890625,513.1293716430664,513.1293716430664,628.6915893554688,354.0677795410156
2019-04-27T06:00:00.000-04:00,473.64891815185547,500.3673629760742,500.3673629760742,640.8697967529297,371.54066467285156
2019-04-27T07:00:00.000-04:00,510.5817565917969,554.7124481201172,554.7124481201172,511.0903778076172,364.81031036376953
2019-04-27T08:00:00.000-04:00,498.22019958496094,611.7873687744141,611.7873687744141,455.67906951904297,363.06910705566406
2019-04-27T09:00:00.000-04:00,535.80859375,613.4767211914062,613.4767211914062,456.583935546875,397.28546142578125
2019-04-27T10:00:00.000-04:00,532.5123697916666,607.1490681966146,607.1490681966146,467.11326090494794,402.93274943033856
